NUM_DATE_KEY,NUM_CHANNEL_KEY,CHV_CHANNLE_NAME,NUM_GENERE_AD_REVENUE,DT_MODIFIED,NUM_DFBL_ID_KEY
20120415,297,ZEE BANGLA ASIA,475,1/7/2013,NULL
20120415,304,ZEE KANNADA ASIA,335,1/7/2013,NULL
20120415,305,ZEE MARATHI ASIA,296,1/7/2013,NULL
20120415,314,ZEE TAMIZH ASIA,966,1/7/2013,NULL
20120415,315,ZEE TELUGU ASIA,440,1/7/2013,NULL
20120415,316,ZEE TV ASIA,2669,1/7/2013,NULL
20120415,300,ZEE CINEMA,542,1/7/2013,NULL
20120515,297,ZEE BANGLA ASIA,421,1/7/2013,NULL
20120515,304,ZEE KANNADA ASIA,354,1/7/2013,NULL
20120515,305,ZEE MARATHI ASIA,308,1/7/2013,NULL
20120515,314,ZEE TAMIZH ASIA,915,1/7/2013,NULL
20120515,315,ZEE TELUGU ASIA,464,1/7/2013,NULL
20120515,316,ZEE TV ASIA,2800,1/7/2013,NULL
20120515,300,ZEE CINEMA,594,1/7/2013,NULL
20120615,297,ZEE BANGLA ASIA,420,1/7/2013,NULL
20120615,304,ZEE KANNADA ASIA,340,1/7/2013,NULL
20120615,305,ZEE MARATHI ASIA,272,1/7/2013,NULL
20120615,314,ZEE TAMIZH ASIA,818,1/7/2013,NULL
20120615,315,ZEE TELUGU ASIA,414,1/7/2013,NULL
20120615,316,ZEE TV ASIA,2957,1/7/2013,NULL
20120615,300,ZEE CINEMA,804,1/7/2013,NULL
20120715,297,ZEE BANGLA ASIA,359,1/7/2013,NULL
20120715,304,ZEE KANNADA ASIA,340,1/7/2013,NULL
20120715,305,ZEE MARATHI ASIA,249,1/7/2013,NULL
20120715,314,ZEE TAMIZH ASIA,790,1/7/2013,NULL
20120715,315,ZEE TELUGU ASIA,422,1/7/2013,NULL
20120715,316,ZEE TV ASIA,3085,1/7/2013,NULL
20120715,300,ZEE CINEMA,807,1/7/2013,NULL
20120815,297,ZEE BANGLA ASIA,351,1/7/2013,NULL
20120815,304,ZEE KANNADA ASIA,319,1/7/2013,NULL
20120815,305,ZEE MARATHI ASIA,282,1/7/2013,NULL
20120815,314,ZEE TAMIZH ASIA,740,1/7/2013,NULL
20120815,315,ZEE TELUGU ASIA,425,1/7/2013,NULL
20120815,316,ZEE TV ASIA,3038,1/7/2013,NULL
20120815,300,ZEE CINEMA,717,1/7/2013,NULL
20120915,297,ZEE BANGLA ASIA,375,1/7/2013,NULL
20120915,304,ZEE KANNADA ASIA,291,1/7/2013,NULL
20120915,305,ZEE MARATHI ASIA,295,1/7/2013,NULL
20120915,314,ZEE TAMIZH ASIA,766,1/7/2013,NULL
20120915,315,ZEE TELUGU ASIA,396,1/7/2013,NULL
20120915,316,ZEE TV ASIA,3164,1/7/2013,NULL
20120915,300,ZEE CINEMA,767,1/7/2013,NULL
20121015,297,ZEE BANGLA ASIA,521,1/7/2013,NULL
20121015,304,ZEE KANNADA ASIA,383,1/7/2013,NULL
20121015,305,ZEE MARATHI ASIA,356,1/7/2013,NULL
20121015,314,ZEE TAMIZH ASIA,889,1/7/2013,NULL
20121015,315,ZEE TELUGU ASIA,547,1/7/2013,NULL
20121015,316,ZEE TV ASIA,3639,1/7/2013,NULL
20121015,300,ZEE CINEMA,887,1/7/2013,NULL
20121115,297,ZEE BANGLA ASIA,502,1/7/2013,NULL
20121115,304,ZEE KANNADA ASIA,370,1/7/2013,NULL
20121115,305,ZEE MARATHI ASIA,320,1/7/2013,NULL
20121115,314,ZEE TAMIZH ASIA,884,1/7/2013,NULL
20121115,315,ZEE TELUGU ASIA,571,1/7/2013,NULL
20121115,316,ZEE TV ASIA,3821,1/7/2013,NULL
20121115,300,ZEE CINEMA,926,1/7/2013,NULL
